,node
0,188
1,289
2,1172
3,1454
4,2268
5,2429
6,2888
7,3850
8,3985
9,4342
10,4589
11,4677
12,4938
13,5207
14,5283
15,5439
16,5640
17,5716
18,5823
19,7412
20,8068
21,8078
22,8742
23,8808
24,8867
25,8922
26,9317
27,9404
28,9619
29,10935
30,11699
31,12143
32,12838
33,14150
34,14401
35,14571
36,15122
37,15474
38,15853
39,15891
40,16461
41,17165
42,17183
43,17404
44,17781
45,18146
46,18263
47,18914
48,19341
49,19705
50,19709
51,20354
52,20592
53,20725
54,21306
55,21708
56,21771
57,21957
58,22724
59,24483
60,24677
61,24823
62,25400
63,26346
64,27527
65,27839
66,28346
67,29136
68,29883
69,30273
70,30787
71,30818
72,30952
73,31107
74,31114
75,31217
76,31502
77,32513
78,32872
79,33058
80,33467
81,33484
82,34004
83,34235
84,35086
85,35285
86,35533
87,35554
88,35922
89,36174
90,36872
91,37973
92,38085
93,38502
94,38881
95,38974
96,39411
97,39847
98,40022
99,41254
100,41465
101,41516
102,41657
103,41683
104,42531
105,43162
106,43772
107,43889
108,44378
109,44633
110,45093
111,45097
112,45446
113,45497
114,45730
115,45787
116,46010
117,46168
118,46260
119,46787
120,46808
121,47447
122,48702
123,49452
124,50435
125,50544
126,50871
127,51267
128,51299
129,52686
130,53396
131,54162
132,54759
133,55340
134,55523
135,56072
136,56147
137,56220
138,56253
139,56584
140,57077
141,57383
142,57394
143,58739
144,59474
145,59752
146,60431
147,60844
148,60997
149,61097
150,61313
151,61991
152,62569
153,62786
154,63890
155,64544
156,64587
157,64713
158,65507
159,65813
160,66166
161,66923
162,67244
163,67599
164,67894
165,68818
166,69083
167,69539
168,70672
169,71125
170,72485
171,74717
172,74815
173,75292
174,75553
175,75570
176,75783
177,75990
178,75995
179,76029
180,76713
181,76828
182,76953
183,77393
184,77906
185,78088
186,78148
187,78628
188,78995
189,79724
190,79782
191,80008
192,80342
193,80981
194,81394
195,81825
196,81965
197,81992
198,82504
199,83003
200,83040
201,83512
202,83838
203,84124
204,84150
205,84298
206,85133
207,86003
208,86122
209,86324
210,87153
211,87861
212,88616
213,90152
214,90681
215,90807
216,91176
217,91209
218,91411
219,91572
220,91896
221,91988
222,92350
223,92491
224,92879
225,93545
226,94765
227,95065
228,95127
229,95413
230,95658
231,95684
232,96057
233,96112
234,96440
235,96597
236,96948
237,97036
238,97517
239,97810
240,98027
241,98042
242,98728
243,99365
244,99896
245,101621
246,102349
247,102541
248,103230
